n,mse,coef_rmse,coef_max_abs_error
13200,9.112399293732550e-34,6.737315525000660e-18,1.387778780781446e-17
13300,2.233629226449439e-33,1.281732264958621e-17,2.894819800536297e-17
13400,2.138646461716556e-33,1.253905710253556e-17,2.916503843986007e-17
13500,1.255926376282952e-33,9.273953831687081e-18,2.775557561562891e-17
13600,1.045998601751522e-33,6.322534985370830e-18,1.387778780781446e-17
13700,7.806058315731532e-34,7.343765869962496e-18,2.081668171172169e-17
13800,1.664870781069967e-33,8.190499808136078e-18,1.572093150103981e-17
13900,2.363195505181254e-33,1.062680378197493e-17,2.428612866367530e-17
14000,1.030107798919366e-33,7.942727529586003e-18,1.675092356490104e-17
14100,9.154426743257499e-34,7.813016429169739e-18,1.474514954580286e-17
14200,2.144878065837533e-33,1.304723686872743e-17,2.775557561562891e-17
14300,1.977787230322066e-33,6.109209067295084e-18,1.387778780781446e-17
14400,1.809353348429748e-33,1.264440760852217e-17,2.661716333451913e-17
14500,3.791966218160810e-33,1.113033557690581e-17,4.163336342344337e-17
14600,1.974038696386729e-33,1.075116891173090e-17,2.748452507250754e-17
14700,1.392202406156619e-33,5.711912434984903e-18,1.387778780781446e-17
14800,1.175103146302334e-33,8.740854007699018e-18,2.471980953266950e-17
14900,1.782403759231284e-33,1.252162373470756e-17,2.775557561562891e-17
15000,2.617467158405363e-33,1.212136493369629e-17,3.426078865054194e-17
15100,2.095795460849421e-33,1.155629746738905e-17,2.645453300864631e-17
15200,1.143071395440167e-33,8.182351037339990e-18,1.713039432527097e-17
15300,1.660675059696218e-33,9.120002948526529e-18,1.778091562876227e-17
15400,1.553321745063587e-33,1.012985664716589e-17,2.775557561562891e-17
15500,2.014538355903915e-33,1.107655044841295e-17,2.667137344314341e-17
15600,1.966487790874787e-33,9.115630317262862e-18,2.190088388420719e-17
15700,1.619014952155901e-33,7.081653875723068e-18,1.474514954580286e-17
15800,1.413322248671614e-33,7.580484645875870e-18,1.994931997373328e-17
15900,1.434672164818424e-33,8.880712282709617e-18,1.821459649775647e-17
16000,3.362455511148601e-33,1.556528836585126e-17,3.642919299551295e-17
16100,1.955428269824511e-33,7.670356828689172e-18,1.973247953923618e-17
16200,3.137008860197616e-33,1.075090012299795e-17,2.775557561562891e-17
16300,2.122504573291065e-33,1.017395835031134e-17,2.428612866367530e-17
16400,1.870841577130300e-33,7.384689017230863e-18,1.539567084929416e-17
16500,1.591890184911807e-33,1.331014752227188e-17,3.122502256758253e-17
16600,2.165609040127596e-33,9.176246570761651e-18,2.081668171172169e-17
16700,2.083073790787082e-33,1.512837633477148e-17,5.551115123125783e-17
16800,3.079051353676032e-33,8.501209807016002e-18,1.734723475976807e-17
16900,8.832514088801763e-34,6.475275885149066e-18,1.387778780781446e-17
17000,1.319510746509891e-33,8.746382863462078e-18,2.775557561562891e-17
17100,1.575036417107457e-33,1.297150598439189e-17,2.775557561562891e-17
17200,2.222396231820340e-33,9.926974669104105e-18,1.994931997373328e-17
17300,2.116785087977704e-33,1.090338108699657e-17,2.602085213965211e-17
17400,1.796379189527691e-33,9.710996166590872e-18,2.775557561562891e-17
17500,1.541417748871680e-33,1.118630987940210e-17,2.949029909160572e-17
17600,2.741056283462117e-33,7.387626629326092e-18,1.734723475976807e-17
17700,1.212006145754308e-33,6.878719522716366e-18,1.853985714950213e-17
17800,1.109015560855319e-33,1.243201419017611e-17,2.775557561562891e-17
17900,2.329190819294346e-33,1.356686356799230e-17,3.209238430557093e-17
18000,3.208399754529923e-33,1.282114338762983e-17,2.515349040166370e-17
18100,2.197420826609366e-33,1.414599947807176e-17,2.775557561562891e-17
18200,2.757089556209593e-33,9.682639676611070e-18,2.775557561562891e-17
18300,1.252544714134506e-33,9.967768404834393e-18,2.775557561562891e-17
18400,2.109116280382374e-33,1.196043397787235e-17,2.775557561562891e-17
18500,1.841305635873799e-33,1.090818207050837e-17,3.469446951953614e-17
18600,2.097627821443483e-33,8.465512076575396e-18,1.734723475976807e-17
18700,1.866715121761174e-33,1.216421769731905e-17,2.775557561562891e-17
18800,1.290659126636560e-33,7.481394353478887e-18,1.582935171828836e-17
18900,1.155352255120948e-33,7.643138306624415e-18,1.843143693225358e-17
19000,7.945100489524195e-34,9.431047750686638e-18,1.984089975648473e-17
19100,2.199972773417123e-33,9.402274128103394e-18,2.428612866367530e-17
19200,3.460622697424701e-33,1.369637106210754e-17,3.816391647148976e-17
19300,2.673589490493282e-33,1.028976312288712e-17,2.081668171172169e-17
19400,1.054008890455765e-33,7.412526201863354e-18,2.255140518769849e-17
19500,1.875041273144323e-33,1.162249642349078e-17,2.949029909160572e-17
19600,2.075992730367163e-33,9.458693093714602e-18,1.734723475976807e-17
19700,1.859530500288948e-33,1.020674282493930e-17,2.775557561562891e-17
19800,1.631010754456607e-33,9.027635284882748e-18,2.775557561562891e-17
19900,1.410328147010635e-33,1.099483377185056e-17,2.775557561562891e-17
20000,2.337808118587675e-33,1.258901826940153e-17,2.775557561562891e-17
