n,mse,coef_rmse,coef_max_abs_error
7800,5.905963027990794e-24,7.362401496371905e-13,1.129540905253634e-12
7900,3.622036801750456e-24,5.614403264888708e-13,8.297299479431697e-13
8000,1.723593376603937e-24,4.554408110849576e-13,6.911693439803912e-13
8100,1.330943091292357e-24,3.514891400146557e-13,5.774547506831595e-13
8200,1.021773516160861e-24,2.424858774134361e-13,4.056477376224166e-13
8300,4.061929558898774e-25,1.814628097773536e-13,2.937424609106287e-13
8400,2.729379252111348e-25,1.255806078898805e-13,1.997638165995852e-13
8500,8.452489030923929e-26,1.020119781073003e-13,1.587115855405941e-13
8600,8.312651731567187e-26,7.167029485840857e-14,1.165526009039297e-13
8700,2.500803919041052e-26,5.968463384131515e-14,9.239137233052475e-14
8800,4.413120682811990e-26,2.791253798809599e-14,4.777428452840127e-14
8900,7.484889870097110e-27,1.749746826178358e-14,3.326505737533125e-14
9000,3.288702381613826e-27,9.973850010199639e-15,1.937339177970898e-14
9100,7.373807015552424e-28,7.265816221318817e-15,1.455086051649346e-14
9200,4.488823835580329e-28,4.966563213023023e-15,9.194034422677078e-15
9300,1.529501450501326e-28,3.866198487265090e-15,6.796646578877130e-15
9400,1.687862427189020e-28,2.059992868180430e-15,3.864963904476326e-15
9500,1.681236189899082e-29,1.779821507076586e-15,3.316791286067655e-15
9600,1.608189911242583e-29,1.468126717281311e-15,2.815456201510358e-15
9700,2.054315880465288e-29,9.235103633260133e-16,1.649722025653944e-15
9800,7.884155217432508e-30,5.961271532094997e-16,1.158795281952507e-15
9900,1.361895720290654e-30,5.152339380526313e-16,9.488937413593135e-16
10000,2.703721772023998e-30,3.126471621877510e-16,5.828670879282072e-16
10100,7.969332239117514e-31,2.187923458391150e-16,3.885780586188048e-16
10200,2.764260854114568e-31,1.750724347538584e-16,2.905661822261152e-16
10300,1.480408158254769e-31,1.462983569296642e-16,2.471980953266950e-16
10400,9.697681328185640e-32,1.269163334405178e-16,2.090341788552053e-16
10500,1.233718185150010e-31,9.515079479982521e-17,1.526556658859590e-16
10600,8.312591714918940e-32,6.913717114091743e-17,1.526556658859590e-16
10700,4.556921412152623e-32,5.651169602091054e-17,1.526556658859590e-16
10800,2.823905325142112e-32,5.129996652048840e-17,1.526556658859590e-16
10900,2.997386357333579e-32,4.709223118845104e-17,1.526556658859590e-16
11000,1.883443299749082e-32,4.653971344822137e-17,1.526556658859590e-16
11100,1.912620553598109e-32,4.564695448889511e-17,1.526556658859590e-16
11200,1.906259315960124e-32,4.573186633461892e-17,1.526556658859590e-16
11300,1.938364417669782e-32,4.461695250498122e-17,1.526556658859590e-16
11400,1.572140433959941e-32,4.457034120421412e-17,1.526556658859590e-16
11500,1.833053477451930e-32,4.407979239364815e-17,1.526556658859590e-16
11600,2.788703677438800e-32,4.324349686522789e-17,1.526556658859590e-16
11700,1.637388645910808e-32,4.292604212008123e-17,1.526556658859590e-16
11800,1.494402018539355e-32,4.329252106594269e-17,1.526556658859590e-16
11900,2.043936282368686e-32,4.335793147941108e-17,1.526556658859590e-16
12000,1.666402892672509e-32,4.353751939862342e-17,1.526556658859590e-16
12100,1.308237097408668e-32,4.360304529725681e-17,1.526556658859590e-16
12200,2.092472961515323e-32,4.310304450866018e-17,1.526556658859590e-16
12300,1.999189197358731e-32,4.264928976688427e-17,1.526556658859590e-16
12400,2.141435889239907e-32,4.242126718807902e-17,1.526556658859590e-16
12500,1.682812133880113e-32,4.257681510629231e-17,1.526556658859590e-16
12600,2.281862345751249e-32,4.327261833259269e-17,1.526556658859590e-16
12700,2.539373182392277e-32,4.254219456276030e-17,1.526556658859590e-16
12800,2.165732590461339e-32,4.246658235775035e-17,1.526556658859590e-16
12900,2.117882873519400e-32,4.248246335643552e-17,1.526556658859590e-16
13000,2.052342900748252e-32,4.230585959416024e-17,1.526556658859590e-16
13100,1.365333350076131e-32,4.259762589767860e-17,1.526556658859590e-16
13200,1.700105066373930e-32,4.296540366161845e-17,1.526556658859590e-16
13300,1.532980015156647e-32,4.227664798483004e-17,1.526556658859590e-16
13400,1.520287391559717e-32,4.260252608154644e-17,1.526556658859590e-16
13500,2.260684716668652e-32,4.294456808239083e-17,1.526556658859590e-16
13600,2.320705466303162e-32,4.282913766047261e-17,1.526556658859590e-16
13700,2.545043917016173e-32,4.271398927598703e-17,1.526556658859590e-16
13800,1.793527197786887e-32,4.240862953449970e-17,1.526556658859590e-16
13900,1.718743704800568e-32,4.248808116984319e-17,1.526556658859590e-16
14000,2.046245355880516e-32,4.280603665028032e-17,1.526556658859590e-16
14100,1.842193569041580e-32,4.246871369935308e-17,1.526556658859590e-16
14200,1.902849359662654e-32,4.223979517747458e-17,1.526556658859590e-16
14300,1.727629172558886e-32,4.240411698910124e-17,1.526556658859590e-16
14400,2.061369474848443e-32,4.232959690103624e-17,1.526556658859590e-16
14500,1.396525433568562e-32,4.202944600650736e-17,1.526556658859590e-16
14600,2.714558691126999e-32,4.150143724959116e-17,1.526556658859590e-16
14700,1.959739983103327e-32,4.134188609040224e-17,1.526556658859590e-16
14800,1.522991016811665e-32,4.149599392856600e-17,1.526556658859590e-16
14900,2.557848106781940e-32,4.188022165400941e-17,1.526556658859590e-16
15000,1.555395140774285e-32,4.149554067969666e-17,1.526556658859590e-16
15100,1.763708902787318e-32,4.178921752236463e-17,1.526556658859590e-16
15200,1.990723569162753e-32,4.200284434642616e-17,1.526556658859590e-16
15300,1.876145454660984e-32,4.160729488174994e-17,1.526556658859590e-16
15400,2.021453166157796e-32,4.177404965223905e-17,1.526556658859590e-16
15500,2.843352045405279e-32,4.038162624965249e-17,1.526556658859590e-16
15600,1.771572172413104e-32,3.958069203403232e-17,1.526556658859590e-16
15700,1.584331524075885e-32,3.953229195231373e-17,1.526556658859590e-16
15800,1.460986240628530e-32,3.924755707115288e-17,1.526556658859590e-16
15900,1.344681210314705e-32,3.925907893667859e-17,1.526556658859590e-16
16000,1.715925527624133e-32,3.963132065407946e-17,1.526556658859590e-16
16100,1.613832244582900e-32,3.972257068704807e-17,1.526556658859590e-16
16200,1.555466834174742e-32,4.012174824134834e-17,1.526556658859590e-16
16300,1.581620690104831e-32,3.959976760254856e-17,1.526556658859590e-16
16400,1.943302352054112e-32,3.989954098393489e-17,1.526556658859590e-16
16500,1.696637431507401e-32,4.022099881689668e-17,1.526556658859590e-16
16600,1.472878077066062e-32,4.023282016856986e-17,1.526556658859590e-16
16700,1.488221786460246e-32,4.010802946291825e-17,1.526556658859590e-16
16800,1.615434114244652e-32,3.982075720541056e-17,1.526556658859590e-16
16900,1.077857519679288e-32,3.949537476695329e-17,1.526556658859590e-16
17000,2.212261184179740e-32,3.986602812692867e-17,1.526556658859590e-16
17100,1.680737433370686e-32,4.018587344745947e-17,1.526556658859590e-16
